"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013876","33.56556","-86.745","187.5","2000-02-10","0.00","0.0","0.0","54","70","37","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-11","0.00","0.0","0.0","65","73","57","0.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-12","0.00","0.0","0.0","56","65","46","0.0","    1",,,,,,,"    1",,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-13","0.76","0.0","0.0","61","70","51","0.0","    1",,"    1",,"    1",,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-14","0.00","0.0","0.0","53","64","41","0.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-15","0.00","0.0","0.0","52","70","33","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-16","0.00","0.0","0.0","62","69","54","0.0",,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-17","0.07","0.0","0.0","57","69","45","0.0",,,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-18","0.02","0.0","0.0","70","76","64","0.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-19","0.02","0.0","0.0","52","67","37","0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-20","0.00","0.0","0.0","45","56","33","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-21","0.00","0.0","0.0","47","64","29","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-22","0.00","0.0","0.0","56","69","43","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-23","0.00","0.0","0.0","62","71","52","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-24","0.00","0.0","0.0","67","77","57","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-25","0.00","0.0","0.0","64","77","50","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-26","0.00","0.0","0.0","66","75","56","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-02-27","1.30","0.0","0.0","55","66","44","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
