,REGION TYPE,REGION,TOTAL SPECIMENS,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v,TOTAL A,TOTAL B,date,Confirmed_Infections
0,States,Alabama,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
1,States,Alaska,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
2,States,Arizona,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
3,States,Arkansas,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
4,States,California,183.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,2010-10-08,6.0
5,States,Colorado,126.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
6,States,Connecticut,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
7,States,Delaware,75.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2010-10-08,3.0
8,States,District of Columbia,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
10,States,Georgia,209.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2010-10-08,2.0
11,States,Hawaii,83.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,9.0,0.0,2010-10-08,9.0
13,States,Illinois,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
14,States,Indiana,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
15,States,Iowa,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
17,States,Kentucky,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
18,States,Louisiana,121.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2010-10-08,4.0
20,States,Maryland,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
21,States,Massachusetts,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
23,States,Minnesota,51.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
24,States,Mississippi,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
25,States,Missouri,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
26,States,Montana,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
27,States,Nebraska,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
29,States,New Hampshire,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
32,States,New York,300.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2010-10-08,3.0
34,States,North Dakota,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
35,States,Ohio,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
36,States,Oklahoma,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
37,States,Oregon,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
38,States,Pennsylvania,176.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2010-10-08,1.0
40,States,South Carolina,66.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-08,1.0
41,States,South Dakota,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
42,States,Tennessee,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2010-10-08,1.0
43,States,Texas,301.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2010-10-08,2.0
44,States,Utah,166.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,2010-10-08,4.0
46,States,Virginia,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2010-10-08,1.0
47,States,Washington,126.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2010-10-08,2.0
48,States,West Virginia,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
49,States,Wisconsin,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
50,States,Wyoming,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
52,States,Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-08,0.0
54,States,Alabama,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
55,States,Alaska,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
56,States,Arizona,47.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2010-10-15,3.0
57,States,Arkansas,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2010-10-15,1.0
58,States,California,163.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2010-10-15,2.0
59,States,Colorado,157.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2010-10-15,2.0
60,States,Connecticut,57.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-15,1.0
61,States,Delaware,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-15,1.0
64,States,Georgia,223.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,2010-10-15,4.0
65,States,Hawaii,217.0,5.0,0.0,5.0,4.0,0.0,3.0,0.0,14.0,3.0,2010-10-15,17.0
67,States,Illinois,40.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2010-10-15,4.0
68,States,Indiana,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
69,States,Iowa,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
70,States,Kansas,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
71,States,Kentucky,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2010-10-15,2.0
72,States,Louisiana,130.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2010-10-15,2.0
74,States,Maryland,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
75,States,Massachusetts,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
77,States,Minnesota,64.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2010-10-15,2.0
79,States,Missouri,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
81,States,Nebraska,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
85,States,New Mexico,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
86,States,New York,262.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2010-10-15,2.0
87,States,North Carolina,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
88,States,North Dakota,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2010-10-15,1.0
89,States,Ohio,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
90,States,Oklahoma,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
91,States,Oregon,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
92,States,Pennsylvania,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
94,States,South Carolina,85.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2010-10-15,1.0
95,States,South Dakota,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
96,States,Tennessee,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
97,States,Texas,426.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,7.0,5.0,2010-10-15,12.0
98,States,Utah,186.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,2010-10-15,10.0
100,States,Virginia,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
101,States,Washington,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
102,States,West Virginia,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
103,States,Wisconsin,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
104,States,Wyoming,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
106,States,Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-15,0.0
108,States,Alabama,55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2010-10-22,1.0
109,States,Alaska,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
110,States,Arizona,56.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-22,1.0
111,States,Arkansas,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
112,States,California,174.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,3.0,2010-10-22,5.0
113,States,Colorado,153.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2010-10-22,1.0
114,States,Connecticut,71.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-22,1.0
115,States,Delaware,87.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-22,1.0
116,States,District of Columbia,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
118,States,Georgia,158.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,2.0,5.0,2010-10-22,7.0
119,States,Hawaii,214.0,5.0,0.0,7.0,2.0,0.0,3.0,0.0,14.0,3.0,2010-10-22,17.0
121,States,Illinois,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-22,1.0
122,States,Indiana,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
123,States,Iowa,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
124,States,Kansas,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-22,1.0
125,States,Kentucky,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
126,States,Louisiana,96.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2010-10-22,2.0
128,States,Maryland,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2010-10-22,1.0
129,States,Massachusetts,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
131,States,Minnesota,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
133,States,Missouri,175.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-22,1.0
135,States,Nebraska,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
137,States,New Hampshire,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
139,States,New Mexico,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
140,States,New York,327.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2010-10-22,2.0
141,States,North Carolina,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
142,States,North Dakota,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
143,States,Ohio,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
144,States,Oklahoma,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
145,States,Oregon,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
146,States,Pennsylvania,145.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-22,1.0
148,States,South Carolina,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
149,States,South Dakota,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
150,States,Tennessee,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-22,1.0
151,States,Texas,390.0,1.0,0.0,4.0,1.0,0.0,6.0,0.0,6.0,6.0,2010-10-22,12.0
152,States,Utah,192.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2010-10-22,1.0
154,States,Virginia,35.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2010-10-22,3.0
155,States,Washington,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
156,States,West Virginia,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
157,States,Wisconsin,88.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-22,1.0
158,States,Wyoming,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2010-10-22,1.0
160,States,Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-22,0.0
162,States,Alabama,64.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,3.0,2010-10-29,5.0
163,States,Alaska,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
164,States,Arizona,44.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2010-10-29,2.0
165,States,Arkansas,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-29,1.0
166,States,California,168.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2010-10-29,3.0
167,States,Colorado,162.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2010-10-29,3.0
168,States,Connecticut,77.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2010-10-29,2.0
169,States,Delaware,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
170,States,District of Columbia,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
172,States,Georgia,234.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,2010-10-29,7.0
173,States,Hawaii,133.0,5.0,0.0,6.0,2.0,0.0,3.0,0.0,13.0,3.0,2010-10-29,16.0
175,States,Illinois,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
176,States,Indiana,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
177,States,Iowa,47.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2010-10-29,1.0
178,States,Kansas,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
179,States,Kentucky,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
180,States,Louisiana,102.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,2010-10-29,5.0
182,States,Maryland,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-29,1.0
183,States,Massachusetts,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-29,1.0
185,States,Minnesota,95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,2010-10-29,5.0
187,States,Missouri,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
189,States,Nebraska,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
191,States,New Hampshire,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
193,States,New Mexico,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
194,States,New York,294.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,2010-10-29,4.0
195,States,North Carolina,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
196,States,North Dakota,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
197,States,Ohio,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-29,1.0
198,States,Oklahoma,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-29,1.0
199,States,Oregon,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
200,States,Pennsylvania,159.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2010-10-29,2.0
202,States,South Carolina,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
203,States,South Dakota,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
204,States,Tennessee,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-29,1.0
205,States,Texas,390.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,4.0,6.0,2010-10-29,10.0
206,States,Utah,212.0,5.0,0.0,3.0,1.0,0.0,1.0,0.0,9.0,1.0,2010-10-29,10.0
208,States,Virginia,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
209,States,Washington,170.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,1.0,2010-10-29,6.0
210,States,West Virginia,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
211,States,Wisconsin,89.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-10-29,1.0
212,States,Wyoming,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
214,States,Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-10-29,0.0
216,States,Alabama,69.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,4.0,7.0,2010-11-05,11.0
217,States,Alaska,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
218,States,Arizona,67.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-11-05,1.0
219,States,Arkansas,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-11-05,1.0
220,States,California,229.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,3.0,4.0,2010-11-05,7.0
221,States,Colorado,163.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2010-11-05,2.0
222,States,Connecticut,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
223,States,Delaware,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
226,States,Georgia,353.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,1.0,27.0,2010-11-05,28.0
227,States,Hawaii,184.0,3.0,0.0,2.0,1.0,0.0,4.0,0.0,6.0,4.0,2010-11-05,10.0
229,States,Illinois,51.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2010-11-05,2.0
230,States,Indiana,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
231,States,Iowa,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2010-11-05,1.0
232,States,Kansas,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-11-05,1.0
233,States,Kentucky,49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2010-11-05,2.0
234,States,Louisiana,114.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,2010-11-05,6.0
235,States,Maine,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
236,States,Maryland,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-11-05,1.0
237,States,Massachusetts,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-11-05,1.0
239,States,Minnesota,86.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-11-05,1.0
241,States,Missouri,178.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2010-11-05,1.0
242,States,Montana,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
243,States,Nebraska,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
245,States,New Hampshire,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-11-05,1.0
247,States,New Mexico,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
248,States,New York,360.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,8.0,1.0,2010-11-05,9.0
249,States,North Carolina,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
250,States,North Dakota,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2010-11-05,1.0
251,States,Ohio,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2010-11-05,1.0
252,States,Oklahoma,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
253,States,Oregon,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
254,States,Pennsylvania,161.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,2.0,2010-11-05,7.0
256,States,South Carolina,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
257,States,South Dakota,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
258,States,Tennessee,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
259,States,Texas,395.0,0.0,0.0,1.0,4.0,0.0,6.0,0.0,5.0,6.0,2010-11-05,11.0
260,States,Utah,270.0,2.0,0.0,15.0,5.0,0.0,2.0,0.0,22.0,2.0,2010-11-05,24.0
262,States,Virginia,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
263,States,Washington,135.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2010-11-05,2.0
264,States,West Virginia,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
265,States,Wisconsin,117.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2010-11-05,2.0
266,States,Wyoming,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
268,States,Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-05,0.0
270,States,Alabama,107.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,2.0,11.0,2010-11-12,13.0
271,States,Alaska,45.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2010-11-12,2.0
272,States,Arizona,82.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2010-11-12,3.0
273,States,Arkansas,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2010-11-12,2.0
274,States,California,213.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,2.0,5.0,2010-11-12,7.0
275,States,Colorado,212.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,2010-11-12,5.0
276,States,Connecticut,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-11-12,1.0
277,States,Delaware,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-11-12,1.0
280,States,Georgia,426.0,0.0,0.0,0.0,3.0,0.0,64.0,0.0,3.0,64.0,2010-11-12,67.0
281,States,Hawaii,183.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2010-11-12,3.0
283,States,Illinois,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010-11-12,1.0
284,States,Indiana,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-12,0.0
285,States,Iowa,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-12,0.0
286,States,Kansas,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-12,0.0
287,States,Kentucky,45.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2010-11-12,4.0
288,States,Louisiana,181.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,2010-11-12,6.0
290,States,Maryland,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-12,0.0
291,States,Massachusetts,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-12,0.0
293,States,Minnesota,107.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,2010-11-12,5.0
294,States,Mississippi,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2010-11-12,3.0
295,States,Missouri,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11-12,0.0
